,Answer,Likeliness,A,B,C,D
1,D,0.25,0.25,0.25,0.25,0.25
2,D,0.25,0.25,0.25,0.25,0.25
3,D,0.25,0.25,0.25,0.25,0.25
4,C,0.25,0.25,0.25,0.25,0.25
5,C,0.25,0.25,0.25,0.25,0.25
6,C,0.25,0.25,0.25,0.25,0.25
7,C,0.25,0.25,0.25,0.25,0.25
8,B,0.25,0.25,0.25,0.25,0.25
9,B,0.25,0.25,0.25,0.25,0.25
10,B,0.25,0.25,0.25,0.25,0.25
11,B,0.25,0.25,0.25,0.25,0.25
12,A,0.25,0.25,0.25,0.25,0.25
13,A,0.25,0.25,0.25,0.25,0.25
14,A,0.25,0.25,0.25,0.25,0.25
15,A,0.25,0.25,0.25,0.25,0.25
16,A,0.25,0.25,0.25,0.25,0.25
17,A,0.25,0.25,0.25,0.25,0.25
18,A,0.25,0.25,0.25,0.25,0.25
19,A,0.25,0.25,0.25,0.25,0.25
